#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,Simplot BI Reporting,Simplot,Project,,Agriculture,"Simplot was looking for migrating their legacy reporting and ETL tools like BRIO, QlikView, Cognos, Web focus to Microsoft stack","We are taken end to end responsibility for migrating all the reports from BRIO to SSRS, worked on the administration of the QlikView servers and worked re- architecture of the QlikView servers and migrated 90% of the QlikView reports to Microsoft Power BI, SSRS. We have also worked on migrating the Cognos cubes, SSIS Packages to SSAS, SSIS respectively. Also worked on creating many of the reports in Power BI from scratch. We also provide the support for all the Cognos cube, reports, packages, and SSRS, Power BI, QlikView support",,,"Power BI, SSRS",7,6+ Years,Active,," migrating their legacy reporting and ETL tools like BRIO, QlikView, Cognos, Web focus to Microsoft stack "
,Communicator App,AlertSense,Project,Mobile Development- Cross Platform,Communication,Alertsense had a development team and needed an extended team. A web application was already in place and they wanted a mobile app with similar features. In Time Tec started with mobile app development as well as maintenance of their existing web application. ,"AlertSense Communicator fulfils following objectives - 
Simplify Crisis & Incident Reporting: Situational intelligence from mobile users, with images/assessments, delivered to automated escalation paths by event type.​
Location-based Alerts: Assess safety/status of mobile travellers & site users in a map-selected area. Identify/alert those in harm’s way, while preserving battery life & respecting users’ privacy
Access: Internal​
Target User Group: B2B (Internal use within organisations) ​
Team Structure:  ​
1 Software Engineer (BE Development) ;  ​
2 Software Engineer (Mobile-Native) ; ​","In Time Tec helped Alertsense in launching their apps. Earlier their apps were internal to their team. Entire process of Go-Live was done by In Time Tec. ​​
","Key Features: ​
Push Notification​
Server-Client REST Connectivity​
Map Integration​
Create Alerts from App​
Upload Media Files​
Chat​
Platform: Android​
Technology: Native ",Native,3,2 Years,Closed,,
,MyAlerts,AlertSense,Project,Mobile Development- Cross Platform,Communication,Alertsense had a development team and needed an extended team. A web application was already in place and they wanted a mobile app with similar features. In Time Tec Tec started with mobile app development as well as maintenance of their existing web application. ,"•User can receive life-saving emergency alerts from public safety agencies, advanced warning of severe weather and community notifications that impact you and your family. ​

•Location based alerts with live location monitoring to keep the user updated.​

•Alerts include Severe Weather, Public Safety, Community Notifications.
Access: Internal​

Target User Group: B2C (Internal use within organisations) ​

Team Structure:  ​

2 Software Engineer (BE Development) ;  ​

2 Software Engineer (Mobile-Cordova Ionic) ; ​

1 Software Engineer (QA)​

​",In Time Tec helped Alertsense in launching their apps. Earlier their apps were internal to their team. Entire process of Go-Live was done by In Time Tec.,"Key Features: ​

 Push Notification​

 Server-Client REST Connectivity​

 Location Based Services​

 Motion Sensors​

 Map Integration​
Platform: iOS, Android​
Technology: Cross Platform (Hybrid)",,5,5 Years,C;osed,,
,UBI,Skytrace,Project,Mobile Development -Ionic/Web Development,Transport,Client needed live tracking for vehicles and sending notifications to the end users for car services and other services.,"Developed mobile app as well as web portal for vehicle inventory management and services. 

Mobile Application is not Live yet, however client found few customers, and we have given demos to them and this is ongoing, Developed software for managing hardware devices used for live tracking.
Access: External​
Target User Group: Global​
Team Structure:  2 Software Engineers (Development) ;  1 Software Engineer (QA)","User who subscribe to the mobile application get notifications for due car services, and they can also track their vehicles live. Vehicle lot can be managed.","Key Features: ​

Live tracking of vehicles​

Securing vehicle from thefts​

Share live location anytime​

Notification of vehicle status​

Server-client REST connectivity​


Platform: iOS, Android​
Technology: Cross Platform​","Angular, Python, Ionic, DevOps",4,5+ Years,Active,,
,PMI Chapter Event,PMI Chapter Event,Project,Mobile Development - Cross Platform,Events,Ease PDU submission and increase participant engagement at local chapter events with the PMI Chapter Events app. It uses gamification to engage users with sponsors,"In Time Tec offered following solution via mobile app development that helped the stakeholders in following way - ​

​

•Admin: Event organizers can scan and register their attendees using their mobile phones or iPad at the event streamlining the onsite check-in and PMI PDU crediting process. ​

•User: Event attendees can view and register their attendance using their mobile phone at the event streamlining the onsite check-in and PMI PDU crediting process. ","Participating local PMI chapters use the app to take attendance and submit PDUs for members. Chapter members and guests register for events and even choose conference sessions, where applicable, in the app.​","Key Features: ​

Server-Client REST Connectivity​

Event Attendance​

Event Details & Location​

Event Calendar​

QR Scanner / Generator​


Platform: iOS, Android​
Technology:  Cross Platform​

​",Cross Platform,2,3Years,Closed,,
,Feedlot Manager App,NextGen AGtech,Project,Mobile Development - Native,Agtech,"Next Gen/Ag Tech offers tech innovation to the agriculture industry by allowing feedlot managers to track cattle shipments, manage feedlots, and finance cattle using cloud software. Feedlot Manager is product of NextGen AgTech.","Cattle Country Capital app is a solution for tracking finance data of cattle for various feed lots. CCC helps in cutting paperwork and multiple spreadsheets required for managing cattle and related finances. CCC has multiple software applications to cover lifecycle of livestock from procurement, animal husbandry involving feeding, rationing, health and reporting, and transportation for further processing in the cattle supply chain.​
In Time Tec has developed the product and releasing MVP version in 2023. Mobile App is expected to be published on itunes this year.
Access – B2B (Customers subscribing for NGAT)​
User Group: US​
Team Structure – ​
2 Software Engineers (Development-Backend), ​
2 Software Engineers (iOS)​
1Software Engineer (QA)​","App has been tested in production environment. Development work is ongoing and not published on itunes yet.​

​","Login as Loader or Truck Driver​

Select Ration to load in truck​

Monitor delivery of ration to pens.​

Real time loading and delivery of ration​

​

Platform: iOS (iPad)​
Technology:  Native","IOS, ReactJS, .NET, Azure",14.5,2+ Years,Active,,
,St Luke's Health System,St Lukes Hospital,Project,Mobile Development - Native,Healthcare,"Mobile app (iOS+Android) for major healthcare provider of Idaho. Has features like Find Providers (Search by name, specialty or Keywords). We can search provider in Family Medicine, paediatrician and urgent care. Find Location by name in same family medicine, urgent care and emergency care. Provide Feedback to app admin.","In Time Tec app to support following features - ​

Help users find nearby Hospitals in St. Luke’s network​
Help users find nearby Specialty Doctors in St. Luke’s network​
Get details about Hospitals and Doctors​
Access personal medical records with integrated MyCharts​
Pay medical bills with Visit Pay.​
Access: ​
Target User Group: Global​
Team Structure:  ​
6 Software Engineer (Development) ;  2 Software Engineer (QA)​
(*5 Mobile App Developers ; 1 BE Developer)","St Luke's hospital was not having a mobile app earlier. In Time Tec helped in bringing experience for their patients on mobile platforms. It is of great use for the patients as it is earlier to get important information about doctors, hospitals and medical help.","Find Nearby Hospitals​

Find Nearby Specialty Doctors​

Pay Bills​

Access Medical Records​

​

Platform: iOS, Android​
Technology: Swift, Kotlin","IOS : Swift​

Android : Kotlin​

Backend API: .NET​

Third Party Api to fetch Provide and location : Talix",8,2+ Years,Active,,
,Touchfree MFP,HP,Project,Mobile Development - Cross Platform,Printing,"During the pandemic, In Time Tec realized that most industries were focusing on touchfree experience. This was was a result of an idea to create touchless experience for printers and MFPs.","In Time Tec developed mobile app that supports following features - ​

Remotely control compatible HP printers and multi-function devices through your phone on the same network.​

PRINT any supported document on your phone.​

SCAN documents and save them to your phone without touching the MFP control panel.​

SHARE your scanned documents anywhere your phone can share​

COPY documents without touching the MFP control panel.
Access: External​

Target User Group: Global​

Team Structure: 4 Dev 1 QA","With Touchfree MFP App, users no longer need to worry about touching a printer or scanner control panel again. With this app, they can remotely control compatible HP printers and multi-function devices through their phones.​

​","Remote Print, Scan, Copy​

Share scanned documents​

Touchless access​

Multi Printer Support​​

Platform: iOS, Android​
Technology: Cross Platform","Android, Kotlin, iOS, Swift, Java, DevOps, API Automation",Not Available,Not Available,Closed,Riddhi,
,HP Roam,HP,Project,Mobile Development - Native,Printing,HP Roam was a mobile app which was designed and developed for Roam Printing (print from anywhere). Later it was enhanced and supported by In Time Tec. It was an ambitious project for HP. ,"In Time Tec developed certain features in collaboration with HP. We majorly did the qualification work for entire project. This includes setting of the framework, creation of working pipeline to promote code to production ​

API Testing ​

UI Testing ​

DevOps ​

Work we have done - mostly fixed bugs, Fees feature, Taxability feature, Diselematic feature, Payrix feature.
Access: External​
Target User Group: Global​
Team Structure:  5 Software Engineer (Development) ;  20 Software Engineer (QA)","HP Roam App helped to accomplish following - ​

Print effortlessly from any device, virtually anywhere, to any HP printer—securely through the cloud​

Mobile professionals can now print at virtually any time, from virtually any location and device. Print jobs are submitted to the cloud as users create or consume content. ​

Prints can then be securely retrieved from any enabled device in the office, at a home office, or at a growing number of public print locations.1 There's no need to worry about device-to-printer compatibility or connectivity"," BLE Nearby Search​

 Map Integration​

 Location Tracking​

 Server-Client REST Connectivity​

​

​

Platform: iOS, Android​
Technology: Native​",Native,25+,2+ Years,Closed,,
,Life's Abundance App,Life's Abundance,Project,Mobile Development - Cross Platform,Sales,Life's Abundance products are made for people and pets (dogs and cats). They already have an existing website. They wanted a mobile app for their sales team so that sales team is updates about volume of sales and commission on sales. ,"In Time Tec developed first phase of the application that has following features - ​
Salesperson can login and rest username/password ​
Salesperson can view sales commission and volume of sales ​
Salesperson can set notifications based on time (weekdays, weekends, month-end, or never)​
Above features are completed and first version is released.  ​
Development is ongoing, and next update will include history and features are being discussed with client.
Access: Internal ​
Target User Group: US​
Team Structure:  3 Software Engineer (Development) ;  1 Software Engineer (QA) ; 1 Technology Consultant",Enable sales team with visibility of sales volume and commission history. App development is ongoing and feedback from actual users (salesperson) is awaited. ,"Key Features: ​

 Login / Forget Username/Password​

Information on Sales Commission / Sales Volumes​

Push Notifications – Settings to receive ​

​

​

​

Platform: iOS​
Technology: Cross Platform (React Native)​",React Native,5,8 Months,Active,Vijaya,
,Opportunity Renewal Process Automation,Global Logic,Project/Case Study,Salesforce,IT,"Client is a global provider of professional IT services and solutions which includes product design and development. Opportunity (Sales leads/deals) renewal is maximum portion of business, but Opportunity renewal was manual, there were chances of missing creating renewal Opportunity causing issue in getting accurate data. ​

Note- Opportunities are deals in progress. Opportunity records track details about deals, including which accounts they're for, who the players are, and the amount of potential sales. If your Salesforce admin has set up leads in your Salesforce org, an opportunity is created when a lead is converted.",Automated the Opportunity renewal using scheduled process that will occur just before 90 days of agreement expiration date on an Opportunity. ,No manual process and enabled business team take proactive action by creating renewal Opportunity before agreement expires and provided accurate data for in a clicks.​,,Salesforce,,,,,
,Customization & Optimization of Project Planning & Resourcing Process ,Global Logic,Project/Case Study,Salesforce,IT,Delivery team was using excel sheet to calculate options of team composition and ramp up plan while negotiating with client/prospect. This data was not utilized efficiently for future purposes and maintaining data in excel sheet is tedious job.,"Built a customize solution to estimate team composition and staffing plan, to calculate Labour and Project Margin for Opportunity right in the system. Also provided additional functionality of loading estimate details using XLS template. Loading functionality was improved and helped in reducing time to fetch data. For example: 1000+ staff can be loaded within a minute. These estimate details can be exported and shared with customers as a quote.​

​",Average creation to completion time for quotes improved. Accurate planned data that helps for analysis of planned vs actual.,,Salesforce,,,,,
,Custom Dashboard & Structured Reporting ​,Global Logic,Project/Case Study,Salesforce,IT,"Sales team was facing challenge to prepare reports and charts externally that was needed for Sales heads and management.​

​","Built customized dashboards upon business need using Einstein Analytics. Created Sales Dashboard to provide an overview of key performance indicators to Sales team. Created Dashboards to show a projection of business for the next 2 years, Sales Trending analysis using waterfall representation, Customized Leaderboard dashboard to show the performance of Sales reps and Service Offerings Open pipeline to showcase sales based on offerings.","Removed repetitive process of external chart preparation and have all dashboards at single place.​

​",,Salesforce,,,,,
,Deal creation and invoice,Global Logic,Project/Case Study,Salesforce,IT,Move complete business process to Salesforce from deal creation to Invoice. As currently different functionalities distributed across multiple systems including Oracle ERP.,"Customizing the PSA package provided by FinancialForce.​

Salesforce provides solutions to overcome the challenges client was facing with Oracle ERP and other systems.","There were restrictions, challenges and limitations client was facing with Oracle ERP / other systems being used ​

Single system to manage complete process from deal creation to Invoice (In Progress)",,Salesforce,,,,,Oracle ERP to Salesforce
,Merging two Salesforce instances into one,Simplot,Project/Case Study,Salesforce,Agriculture,"*Org Merge (They were using two different salesforce prod for different countries)​

*An org merge is the process of combining one or more production instances of Salesforce.​

​","  Merging both orgs and according to region employees started using them.​
Org Merge Offered different types of solutions. Which includes:​
Migration of all metadata, users, and their permissions into the first environment.​
All objects and their fields and record types have been migrated to the merge environment.​
The purpose of this project: Was to move all users and necessary configuration from the SAPL org into the NA org. This was not a trivial task and took a lot of effort to complete. ​​
Migration Strategy Used:​
The way we migrated metadata, users, and data is by using a Big Bang approach. This approach helped us to complete migration efficiently.​","Cutting Maintenance Overheads: No need to maintain two salesforce orgs for one company.​

​

​

​

​

​

​",,Salesforce,,,,,Merging two Salesforce instances into one
,Experience Cloud Implementation  ,Simplot,Project/Case Study,Digitalisation,Agriculture,"Simplot wanted to have  digital experiences to connect with customers, partners, or employees. Users can use 'help forum', support community and other web pages to manage accounts and invoices."," Experience Cloud Usage(Implementation) - It helps to deliver connected digital experiences — fast. Reinvent the customer experience, engage more customers, and accelerate growth across any industry with data-driven sites, portals, and mobile applications. ​

​",Proper digital experience connected to CRM.,,Salesforce,,,,,
,CPQ Implementation,Simplot,Project/Case Study,Salesforce-Process Automation,Agriculture,Simplot wanted to manage Pricing for products and Rebate on product according to history of customer.  That includes Approval automation from higher authorities and other automation processes. (We are implementing idea. Solution for using CPQ was offered from Salesforce team )," Provided a solution to speed up their sales process and generating quotes, orders and contracts"," Made the process easy and quicker for rebate on product as per history of customer. ​
Note: CPQ is an abbreviation of configuring, price, and quote. It is an extension of the Salesforce CRM, and its purpose is to speed up the sales process and make it easier. CPQ is a native unit of Salesforce that is responsible for the automation of generating and processing quotes, orders, and contracts​",,Salesforce,,,,,
,Truckstop,Truckstop,Project,Web Development and Testing,Transport/Logistics,"Client is in logistics business involving brokers and carriers. They were already using a web application. They expected In Time Tec to enhance the existing application and do the qualification work​

​","Truckstop is a leader in transportation technology and freight matching solutions. Truckstop offers logistics solutions for transportation professionals through load planning, transportation management, real-time rates, and negotiation tools, as well as the largest industry credit reporting entity helping industry professionals find trusted freight partners.","After In Time Tec took over, there was improvement in quality and many additional features were added. Testing was automated that help in saving time and increased speed of execution.",,".NET, PHP Manual QA C#, Rest Sharp, Selenium Salesforce, Provar, Angular, Python, Ionic, ReactJS, Automation ​",80,3+ Years,Active,Gnanraj,
,RMIS,Truckstop,Project,Web Development,Insurance,Truckstop (Client) had acquired (RMIS). They started integrating RMIS into Truckstop. They are doing sales and wanted our team to help with generating accounts / web view for clients of Truckstop and do the qualification work.​,"Team is responsible for truckstop new product acquisition RMIS, which is insurance domain and responsible for onboarding new client carriers.​

Started with a lean team of 3 developers to start up and later team expanded to 20+ developers and 30 QA engineers supporting the project.​",Improved sales and quicker onboarding for clients of Truckstop.​,,.NET,50,1.5 Years,Active,Prasun,
,FullBay,FullBay,Project,Web Development,Transport,Fullbay is based on PHP technology and an existing Web Application was in place. Fullbay is cloud-based shop management software built specifically for heavy-duty repair shops. Client wanted new features implemented in their existing website. They needed help with implementation of business logic (calculations and billing). ,"In Time Tec helped client with development of features such as clock management, simplified invoicing, inventory monitoring, streamlining reports etc, and UI changes on the existing website.​
Access: External ​
Target User Group: US​
Team Structure:   9 Software Engineer (Development) ;  3 Software Engineer (QA)",Client's sales processes got streamlined. Required features got added on to their website.,,PHP,12,1Year,Closed,Kuldeep,
,"Ferry International
","Ferry International
",Project/Case Study,App Development,Education,"Client is a real estate coaching company. They provide training, motivating and coaching services by teaching lead generation and conversion techniques. They offer one-on-one coaching, experiential training events, and online productivity products as well as sought-after speakers for exclusive events.​

They needed an app for administrative users to access real time data about potential system problems, reporting deprecated metadata, users and licences.  ","Lightning app for admin users where they can access real-time categorized org and object limits data, Login activity of users and helping admins to figure out if licenses can be freed up.   ​

​",It helped the System Administrators and other stakeholders with decisions like designing solutions for new requirements and managing user licenses.,,Salesforce,,,,,
, Refinement of Design ,"Ferry International
",Project/Case Study,,Education,Security and Access Clean up: Simplifying user profiles and permission sets and redesigning of Security Model. ,The ITT team figured out profiles and permissions are redundant and making admins difficult to figure out what to access to give what user. Redesigned the security model to remove access checks in the code to efficiently use the out of box security solutions provided by salesforce.,This helped admins to determine easily what profile to be assigned to users and what additional permissions to be given and users having exactly what access they need.,,Salesforce,,,,,
,Salesforce Implementation ​,Balsam Brands,Project/Case Study,,Transport/Logistics,"For an oversize product, there are multiple cartons per package, and the same number of shipments are generated with the labels and BOL, which costs the business team at least $200 per box to return.​

​","A single shipment was implemented for multiple packages with a single bill of lading with custom apex code by making use of zenkraft APIs.​

​",Helps business reduce Significant FedEx billing costs.,,"Salesforce, Zenkraft APIs",,,,,
,360 Degree View of Customer Data,Balsam Brands,Project/Case Study,UX Design,Ecommerce,"It was difficult for users to have a look at the transactions and interactions made by a customer with the company. And users want to see all the details on a single page to help service the customer better.​

​",Implementation Customer 3600 using salesforce Lightning solutions and Duplicate Data Mangement ,Helps save the users time and improve UX and serve their customers faster and better.,,Salesforce,,,,,
,Cradlepoint- Salesforce Community Cloud,Cradlepoint,Project/Case Study,Web Development,,"Bring Cradlepoint's Partners and Employees together on a single platform as part of Cradlepoint Connect initiative​

Portal was responsible to provide a place where partners can share deal information with employees, create support cases and access latest knowledge articles​

​","Salesforce Community Cloud was used with Customer Community License instead of Partner Community License.​

Features were implemented using Apex and Visualforce pages.​

Look and feel of portal was completely changed from Salesforce standard to Cradlepoint website theme using HTML, CSS and JavaScript.​

Note- Community Cloud is a social platform from Salesforce.com that is designed to connect and facilitate communication among an organization's employees, partners and customers.","Salesforce Community Cloud was used with Customer Community License instead of Partner Community License.​

Features were implemented using Apex and Visualforce pages.​

Look and feel of portal was completely changed from Salesforce standard to Cradlepoint website theme using HTML, CSS and JavaScript.​

Note- Community Cloud is a social platform from Salesforce.com that is designed to connect and facilitate communication among an organization's employees, partners and customers.",,"Salesforce, HTML , CSS , Javascript",,,,,
