No.,Industry / Domain,Client Name,Client Country,Project Title,Project Summary,ITT Delivery SPOC/PM,Platform ,Technology,Team Size,Project Term,Current Status,Any Other Comments
16,IT,Collective[i],US,Collective[i],"Client provides data intelligence, CRM services, contact intelligence and recommendation as per the AI & analytics data. •	It is B2B  modern application that aligns marketing, sales operations, sales management, and sales people toward the singular goal of optimizing revenue growth wherever and whenever possible.
•	It provides a cloud based SAAS solution helping B2B business with predictive and prescriptive forecast to close the sale.
•	It helps in improving sales productivity and growth revenue.
•	Works on completing the deals and task to increase the wining probability.
•	It also displays the forecast revenue of that user Monthly, Quarter and year wise.
•	A user can invite another user to add him in selling and buying team.
•	A user can send deal and plays to another user. 
•	Deal should be completed before the due date. ",Raunak,Web (QA),"Python
PyTest
Pylenium",2,"2 years
(approx)

Project Closure as on November 18th
",Active ,
17,Healthcare,"RISE Services, Inc",US,CPI​,"Community Partnerships of Idaho (CPI) is a multi-service agency that provides support for children and adults with development disabilities and mental illness. Whether finding a job, building relationships, accessing the community, or learning to become more independent and dedicated to helping the individuals to serve to be successful in achieving their goals.

In the Project CPI, we are tracking the data of the client and helping staff to work more efficiently on the client. The Project divides into the Modules as per requirement and the application is mainly divided into three Parts

Development Services – Adult (ADS)
Residential Habilitation (ResHab)
Admin",Raunak,Web,".NET, MySQL, Javascript, HTML, CSS",1.5,10+ years,Maintenance,
18,Printing,HP Inc,US,HP Smartfleet​,"The Smart Fleet Early Warning Detection System monitors printer telemetric error data and intervention data on a routine basis. HP users, engineers and account managers, would like to receive alerts when printer errors or intervention data is increasing.
A web portal will be used for a HP user to subscribe to Smart Fleet alerts and to create their own custom alerts.",Raunak,Web,"React Native, .NET",0.5,6+ years ,Maintenance,
19,Computers,HP Inc,US,HP Card Reader,"[Computer Peripherals] This application is a tool – which is used for deployment of HP Card Readers. 
Allowing the user to: 1. View card reader device details, view and set how the card reader interacts with users and how the card data is read and sent. 2. Save settings on the device itself or as a JSON file that can be used as a settings template. 3. Decode the data read from a card, and review or edit how that card data is decoded.
Once deployment is complete it is typically uninstalled as it is not required for interaction with the card readers or for the card readers to function.
",Raunak,Web,.NET,0.5,6+ years ,Maintenance,
20,Healthcare,Healthwise​.org,US,Healthwise​,Migration Project from .Net 4.7 to .Net 6.0 Team is testing and migrating the existing pre built codebase.,Prasun,Web,.NET,6,3 Months,,
21,Transport,Truckstop.com,US,RMIS​,"Team is responsible for truckstop new product acqistion RMIS, which is insurance domain and responsible for onboarding new client carriers.",Prasun,Web,".NET, Manual QA",50,1.5+ Year,,
22,Printing,HP Inc,US/Europe,S&M Data Engineering​,[Printing / Data Analytics] This project is basically regarding collecting the sales and marketing data and organize data in better format for teams to control and decide the pricing on various platforms.,Prasun,,"Python, Spark",14,2+,,
23,Printing,HP Inc,US,DataOS Data Engineering​,[Printing / Data Analytics] This peoject mainly drives engineering activity for the clients to collect the responses from the client through CDM devices and consent to sale out their Ink and spare parts. [Update]There is a new project - HP DataOS Specialty Data Products that is focused on ETL process. ,Prasun,,"Python, Spark, Databricks",8,1+,,
24,Computers,ZData Inc,US,ZData,[Computers / IAAS] This project is infrastructure Support and Devops automation for the client to provide platform to their cleints for storing and calculation for Big Data,Prasun,Web (DevOps),"Ansible, Jenkins, Terraform, Shell",6,3+,,
25,Printing,HP Inc,US,HP ITSM DAAS​/MPS,"HP Laptops, Printers & accessories provider and sevices will be kept track in this application build on SeviceNow Platform. We are wokring on Automating and qualifying it. ",Gnanaraj,Web,"ServiceNow, Java, Selenium, Rest Assured",29,2+,Running,
26,Transport,Truckstop.com,US,Truckstop QA​,Broker through this application connects the clients who needs truck to dispatch their loads  to the list of truck owners/drivers. We qualify manually & automate it. ,Gnanaraj,Web+Mobile,"C#, Rest Sharp, Selenium",14,2+,Running,
27,Transport,Truckstop.com,US,Truckstop Salesforce​,"Uses Salesforce platform to build a solution for customer management. We have developers, Manual QA & SDET's",Gnanaraj,Web,"Salesforce, Provar",14,1+,Running,
28,Computers,HP Inc,US,HP DataOS DevOps,Creates a generic infrastructure for any project onboarding starting from repository to deployment ,Gnanaraj,Web (DevOps),"Python, Kubernetes, Terraform, Flux2,Airflow, CodeWay, RunWay, AWS, Azure Devops",4,2+,Running,
29,BFSI,Credit Interlink Inc,US,CII​,"Partners is the preferred provider of borrower data for thousands of employers, landlords, mortgage brokers, bankers, credit unions and lenders. They will help you reach your goals quickly, transparently and efficiently through their suite of comprehensive, easy-to-use products and services. From loan origination to loan close, from the first pull of credit to the final credit review (and all the in-between - like tax, social security number and employment verifications, fraud prevention and undisclosed debt monitoring), they can seamlessly facilitate your lending process, assure compliance and reduce the number of third parties engaged in your workflow.",Gaurav,Web,".NET Core, ASP .NET, Angular, MVC",13,13,on going -Maintenance & new enhancement,
30,Retail/eCommerce ,Balsam Hill,,Balsam Brands​,"Balsam Brands is a multi-brand E-Commerce retailer with roots in holiday and home décor.  We are supporting them with DevOps, QA and Salesforce",Gaurav,Web,"DevOps (AWS), Salesforce, QA (manual + automation-performance testing)",15,8,"on going Devops, QA and salesforce work",
31,Agriculture ,J.R. Simplot Company,,Simplot Salesforce​,"The J.R. Simplot Company's Purpose to Contribute to Feeding Our World drives our commitment to global food and agriculture. And we are providing our IT support in terms of development, DevOps, Salesforce etc.",ea,Web (Salesforce),Salesforce,6,6+,on going,
32,Education,"Ferry International, LLC",,Ferry International,"Tom Ferry is recognized as the #1 Educator in Real Estate; his coaching programs, training products and live events will help you live and work by design!",Gaurav,Web,"Salesforce, C#, SQL, JavaScript, HTML, CSS, Java, Liferay",4,4+ Months,on going,
33,Education,Idaho Stars,US,AEYC​,"Association for the Education of Young Children (AEYC) is non profit association in US focused on improving the well-being of young children, with particular emphasis on the quality of educational and developmental services for children from birth through age 8
AEYC provides many different programs to assist professionals who work to educate young children
People who offers facilities for young children education, AEYC supports them with qualified staff, state licenses (if required for facility) etc.
AEYC team keeps track of background verifications, trainings of staff and also offers scholarship programs

Total Users: 25000+
Language Support: English and Spanish",Yatin,Web+Mobile,".NET, Angular JS/Angular, React Native, Azure DevOps",30,6+ years ,Active Development,
34,Transport,Skytrace Inc,US,UBI​,"Web portal for vehicle inventory management and services
Application is not Live",Yatin,Web+Mobile,"Angular, Python, Ionic, DevOps",,,,
35,Retail/eCommerce ,SEBO USA Inc,US,SEBO,"e-commerce site for selling vacume cleaners and their parts

SEBO has various websites, it's goal is to provide a gateway between client and various end users (Dealers and Non-Dealers) to purchase vacuum cleaners. Our involvement with the projects comes with various responsibilities such as:1. Provide site security by making sure all the server components stays up to date.2. Provide timely CMS updates to all the sites.3. Fulfill any requirement that the clients may have.4. Developing custom components.
Total Users: 10000+

",Yatin,Web,PHP,2,9+ years,Active Development,
36,Agriculture ,J.R. Simplot Company,US,Simplot BI​ and reporting,"In Simplot, we work in migrating the reports from legacy tools to the Microsoft Suite tools( Brio- SSRS, Cognos- Power BI, QlikView- Power BI). We work on new development of the of the reports in SSRS, Power BI. We also maintain and administrate the QlikView Servers. We create SSIS packages for moving and cleansing the data across servers. We also create the models in SSAS for the reporting purposes. We do maintain and support the Simplot Cognos environment.",Kuldeep,All platforms,"Power BI, SSRS, SSIS, Qlikview,Cognos,SSAS, Webfocus,SQL,BRIO",11,6+,Active Development,
37,Agriculture ,J.R. Simplot Company,US,Simplot DBA​,"We maintain 400 servers and 4000 databases of the entire Simplot organization. We provide database support for both North American and Australian clients.The team is responsible for the database maintenance, configuration and deployment of new and existing DB servers. We are responsible for any strategic decision on the project level. We configure and maintain the High Availability techniques across the project.",Kuldeep,All platforms,"SQL Server, T-SQL Development, SSIS, SSRS, PowerShell, MS Azure, SSMS, RedGate, Spotlight, SCOM, HADR Techniques",5,6+,Active Development,
38,BFSI,"Equifax, Inc",US,Kount​,"[BFSI / FinTech ]Kount is a digital fraud detection system, We are contributing by developing security on payment, disputes, and charge back management. We also provide integration to various third party with Kount application. We do lot of R&D related to web and mobile prototyping as well",Kuldeep,Web+Mobile,"GoLang, Android, iOS, Angular, AWS, Kubernetes, Docker",32,4,ongoing,
39,IT,In Time Tec,Ind/US,Cybersecurity,"Cybersecurity team is responsible for making compnies infrastruture secure  by implementing various tools and perfoming various VAPTs. Also this team closely work with IT team to montior the infrasture. In addition to that, we provide various services to our clients as well.",Kuldeep,All platforms,Various scriptings and tools. ,10,4,ongoing,
40,IT,In Time Tec,India ,IT​,"IT team is responsible for supporting the business by ensuring company infrastructure is up and highly performant at all times. Takes care of implementing various infrastructure systems, tools, and subscriptions. Also, this team closely works with the Cybersecurity team to ensure the IT space is safe and secure. In addition to that, we provide various services to our clients as well.",Arun,All platforms,"Office365, Windows, Linux, Networking, Web-hosting, Cloud administration and other IT SaaS applications. ",12,,ongoing,
41,HR/HRMS,In Time Tec,India ,HRInTime,"Human Resource Management System for Intimetec. In-house developed web application to manage employees' employment, skills, project, leave & attendance",Arun,Web,"PHP, Python, ReactJS",15,,ongoing,
42,Healthcare,St. Luke's Hospital,US,St. Luke's​,"Mobile app (iOS+Android) for major healthcare provider of Idaho. Has features like Find Providers (Search by name, specialty or Keywords). We can search provider in Family Medicine, pediatrician and urgent care. Find Location by name in same family medicine, urgent care and emergency care. Provide Feedback to app admin. ",Neetima,Mobile,"IOS : Swift
Android : Kotlin
Backend API: .NET
Third Party Api to fetch Provide and location : Talix
",8,2+ years,Closed,Update (July-5) - Status changed to Closed
43,Agriculture ,J.R. Simplot Company,US,Simplot Factory Systems ,"Consists of various applications used by Simplot for manufacturing and other activities. Our team is working on applications like MMS (Manufacturing Management Suite), DCS (Data Collection System), AB S&OPMMS: Manufacturing Management Suite (MMS) is a manufacturing execution system (MES) that provides a single, centralized application for factory users to manage and monitor all aspects of production from receiving the raw materials to packaging the finished product.",Neetima,Web,"Coldfusion, SQL, .NET, SSIS, SSRS ",17,3+ years,Active Development ,Current headcount is 17 and expected to scale up to 8 additional resources in Aug-23
44,Construction,"RedBUILT, LLC",US,RedBuilt​,"RedBuilt is a leader in the design, manufacture and support of proprietary engineered structural wood products for commercial applications. Headquartered in Boise, Idaho, RedBuilt operates four manufacturing plants and 13 design and sales offices throughout the United States.
WebApp: Currently, RedBuilt uses several Access database applications in order to keep their records. These Access applications connects to Microsoft SQL Server through Access linked tables. This causes a delayed response. RedBuilt needs to create a new system stable which should be scalable with improved performance.
Dynamics: Dynamics 365 Sales helps their Sales reps in managing their opportunities, contacts, Companies effectively.
",Neetima,Web,"Angular, .NET, NetSuite, Microsoft Dynamics",5,4+ years,Ongoing,
45,Printing,HP Inc,Spain,HP PPU​,"[Printing/MPS] Large Format Print Portfolio Configure & Price is a pricing simulator that recommends payment quantities for pay-per-use contracts. It estimates values for PageWide XL, DesignJet and Latex printers.",Neetima,Web,"Angular, .NET",1,3+ years,ongoing,
46,Printing,HP Inc,US,HP Configurator​,"[Printing/MPS] Capitalize on HP's Managed portfolio
HP Print Product Configurator:
Meet your client’s needs by creating a valid configuration for any A3 or A4 device across HP’s managed print portfolio.
HP Partner Price Book Tool:
Build your price book for HP’s complete managed print portfolio with easy access to all component level pricing, operating cost per page (OCPP) metrics, product information, and margin calculations
",Neetima,Web,"Angular, .NET",1.5,6+ years,ongoing,
47,Printing,HP Inc,US,HP Autodocs​,[Printing/MPS] For HP sales team to auto-generate a contract by answering a few questions to speed up MPS contract generation,Neetima,Web,"Angular, .NET",1,6+ years ,Closed,Update (July-5) - Status changed to Closed
48,IT,"Liiingo, Inc",US,Liiingo​,"Liiingo partners with companies to provide customer connection and engagement through it’s web and mobile content platform.

Liiingo provides a dynamic links and QR Codes that links a partner’s customers and end users to localized content about a product, a location, or a service.
Our work includes includes modifying the existing web application so that it works on a variety of user devices, not just mobile phone web browsers. Liiingo desires to provide a web view experience that is appropriate for phones, tablets, laptop and desktop computers, and possibly kiosk and larger devices up to 4K resolution.",Neetima,Web+Mobile,"React Native, ReactJS",4,9 months ,Closed,
49,Education,"Ferry International, LLC",US,Ferry Intl WebApp,"The application we are working on provides a link between coaches with real estate agents and offers other resources to help them improve their business. Events like Coaching calls, Training bootcamps, Webinar, In person events, Document resources, OnDemand videos are examples of how training is conducted. ",Neetima,Web+Mobile,"PHP. DevOps, Test Automation",7,8+ months ,Ongoing,
50,BFSI,Blue Cross of Idaho,US,BCI​,Migration of BCI tools to the latest technologies and Portals. Automation for web Portals and Mobile app.  Update: We have started Mobile App QA and DevSecops for BCI.,Mahendra,Web,"Python, React JS, GraphQL",17,6+,Active Development,13 (current head count) - 17 (peak head count)
51,Construction,Sekady Capital LLC ,US,Sekady,"End-to-End development of existing/new featuresQuality deliverablesQualification (manual for now, automation is just introduced), test cases and documentation",Kuldeep,Web,"Vue.js, Node.js, MongoDB and SQL Server",18,2,Active Development,
52,Public Sector,IIC (Idaho Industrial Commission),US,IRIS​,"Automating the compliances, benefits processing and giving the flexibility to the claim holders to submit their claims via portal. Targeting to GoLive by early 2024. 30-40 users from IIC are going to use the system. However, n number of claim users can use the system via portal.",Sudhir,Web,Microsoft Dynamics,35,3 years,Under Implementation,
53,Public Sector,Idaho Department of Health and Welfare,US,Gatoraid,[Healthcare] Automating customer service for Dept. of Health of Idaho. Targeting to GoLive by early 2023. ,Sudhir,Web,Microsoft Dynamics,7,3 months,Under Implementation,
54,Printing,HP Inc,US,HP Services Estimator​,"[Printing / MPS] Services Estimator gives the ability to Direct sales users and internal GSIs users to configure DaaS deals and generate non-binding price proposals for  HP hardwares and services. 

 Services Estimator can :
1. Easily configure multi country deal
2. Supports configurable modular and transactional services
3. Generate Rough Order of Magnitude proposal
4. Send proposal to DART DaaS to generate final pricing
5. Create proposals with Big Deals",Tarun,Web," .NET, Angular, Nifi, AWS, Azure",5 to 14,5+ years,Active Development,
55,IT,GlobalLogic Inc,US,O2I Transformation Project,"This project is focussed towards moving company's internal working from Oracle ERP to Salesforce. GlobalLogic will be using Salesforce to maintain their resources and projects, collaboration with sales team. GlobalLogic is global professional services company and aimed towards bringing in digital transformation to different verticals(telecom, automotive, healthcare, technology, media and entertainment, manufacturing, and semiconductor industries)

Our team learned Financial Force/PSA domain in less amount of time delivered feature in committed timeline.",Tarun,Web,Salesforce,20,2+ years,Active Development,
56,Printing,HP Inc,France,GAIA,Web application where HP employees can compare different products or fleets based on the sustainability data provided by the tool. This will empower customers to recognize sustainability savings and benefits of HP Products at RFP/RFI stage.,Wamakshi,Web,"ReactJS, .NET, Azure DevOps",9,,Active Development,Updated (July-5) - PM changed from Amulya to Wamakshi
57,Printing,"Pharos Systems International, Inc.",USA,Pharos Service,"[Secure Printing] Its an enterprise solution for a secure printing which includes the pull printing and server based/less printing. It includes the encrytion of information and and keeps the confidentiality of the printing. It support various vendors of the printers as HP, Ricoh, cannon, KM and lexmark",Kapil,Web+Embedded,".NET core, Java, Automation",18,4+ years,Active Development,
58,Transport,Truckstop.com,USA,Truckstop,"Truckstop is a leader in transportation technology and freight matching solutions. Truckstop offers logistics solutions for transportation professionals through load planning, transportation management, real-time rates, and negotiation tools, as well as the largest industry credit reporting entity helping industry professionals find trusted freight partners.",Kapil,All platforms,".NET, Angular JS/Angular, ReactJS, Salesforce, Automation",80,3+ years,Active Development,
59,IT,BasicSafe (EHS Hero by BLR) part of Simplify Compliance LLC. ,US,BasicSafe,"BasicSafe is an internet-based integrated approach to managing safe work cultures and compliance with regulatory requirements. Extensive programming based on proven safety methodologies that target employee training and information access is the backbone of the BasicSafe suite. BasicSafe is built by skilled programmers working with experienced safety managers at companies helping develop this software.
BasicSafe is a cloud-based environmental health and safety (EHS) and quality management solution. Key features include job-safety analysis, incident reporting and investigation, training management, audit management, process safety management, action management, permit management, and a scheduler.",Raunak Shah,"Web, Mobile","PHP, MySQL, Javascript, HTML, CSS3, JQuery,Bootstrap, Node.js
React Native, MySQL, Typescript",10,5 years,Closed,
60,Computers,"Cradlepoint, Inc.",US,Cradlepoint Connect,[Computer Peripherals] We built a portal using Salesforce communities. This portal was being used by Cradlepoint Customers and Partners to interact with CradlePoint employees.,Tarun Khandelwal,"Web, Mobile",Salesforce(Community Portal),7,1.5 Years,Closed,
61,Retail/eCommerce ,Fitted USA Inc.,US,Fitted Running,"It was a web portal for different stores in US. Please can login and order using the web portal.
This was created with multisite architecture.
There was an admin portal which used to maintain the inventory for various stores and used to provide valueble information about specific products availability to the store admins",Yatin Yogi,Web,"PHP, Laravel, Shopify, Wordpress multisite",6,1 year,Closed,
62,Oil & Gas,"FMC Technologies, Inc (Now TechNip FMC)",US,FMC,"Worked on public facing portal(Schilling Robotics Online Ordering) where their clients could log in and place and track order for the new machines. Also, worked on an internal application(LPS card) which was used to print out cards for each machine part which outlines the different manufacturing stages for the particular part. ",Sunil Urs,,"Angular,.NET Core",12,2 Years,Closed,
63,Transport,"Fullbay, Inc",US,FullBay,"Fullbay is based on PHP techonology and it's Web Application. Fulbay is cloud-based shop management software built specifically for heavy-duty repair shops. The company's web-based platform offers features such as clock management, simplified invoicing, inventory monitoring, and streamlining reports.",Kuldeep,Web,PHP,12,1 Year,Closed,
64,Printing,HP Inc,US,Titan,"It was a web portal built for HP partners for MPS business targetted towards different offerings and their subscriptions. These offerings are for different apps which can be installed on printers.

ITT came as extended staff to existing team members, started with API test automation and then started contribution on development. Eventually, ITT took responsibility for 24X7 support, implemented New Relic and Victor Ops.",Tarun Khandelwal,"Web, Mobile and External Web Services","Java(Spring), Angular, AWS, Monitoring",25+,2 Years,Closed,
65,Printing,HP Inc,US,HP Roam,"work we have done - mostly fixed bugs, Fees feature, Taxability feature, Diselematic feature, Payrix feature.",Yatin Yogi,Web and Mobile,"Android, Kotlin, iOS, Swift, Java, DevOps, API Automation",25+,2 Years,Closed,
66,Printing,HP Inc,US,HP Foster,"Quote generation and management system for Direct MPS aimed at smaller, standard deals that is integrated with DART Print for pricing, AutoDocs for document generation, and HP Dynamics for funnel management.",Neetima,Web ,".NET, Angular",12,2+ years ,Closed,
67,Printing,HP Inc,US,HP Print At Your Service,"The project was a combination of 2 applications.
1) Web Application - To setup, configure, monitor and upgrade Linux based thin clients that were running at various customer locations.
2) Embedded Application - Custom application built and deployed on Linux based thin clients.  The main functionality of the aplication is track the usage on the printers in the same network. ",Sunil Urs,"Windows, Linux","Angular, C#
Linux scripting, Docker",5,1.5 Years,Closed,
68,Printing,HP Inc,US,SAP Concur,,Neha ,Web ,.NET,2,3 months ,Closed,
69,Public Sector,State of Idaho,US,Idaho Digital Learning Alliance (IDLA),"[Public Sector /  Education] App Name:  IDLA Portal app is a mobile app which allows the students/parents to go through the course contents of the students classes.
Overview: InTimeTec developed a mobile app for IDLA with the following functionality 
•Students can access course content and information for IDLA classes.
•Students can login with their IDLA Portal account to see tiles for their IDLA classes. 
•This will open mobile browser and log the student straight into their IDLA Course.",Vijaya ,,React Native,3,6 Months,Closed,
70,Printing,Jetmobile Paris,US,"SSS, Web Admin, Secure Print, SIA","Secure Print Solution involving multiple applications.
1) Securejet Server Services - Server application to store and release print jobs using custom protocol. Implemented AD and local list based authentication.
2) Web Admin - Application to configure and monitor secure print solution on all the deployed printers in a customer environment. 
3) Embedded solution on different OEM using the SDKs provided by the printer OEMs
4) Secure Print Solution on a custom hardware. The solution authenticates user badges, supported LDAP based authentication and communicated with the SSS to download the jobs submitted by the user",Sunil Urs,"Windows, Linux","C#, C++, Java",40,5 Years,Closed,
71,Retail/eCommerce ,Macys.com,US,Automation,"Macys.com is an eCommerce site and retail arm of Macy's. The site had hundreds of thousands of projects listed in real time.  We developed Behavior Driven Development framework using Cucumber and automated website testing.
Mobile app testing was automated as well",Sunil Urs,Windows,"Ruby, Selenium, Appium",25,1,Closed,
72,Retail/eCommerce ,"Starmedia Promotions, Inc",US,ImprintCity,Developed eCommerce application ImprintCity.com. The website sells custom branded merchandize. ,Sunil Urs,Windows,"PHP, Laravel",4,1,Closed,
73,IT,,US,The Newsletter Pro,,Inwinder?,,,,,,
74,IT,"Viral Nation, Inc",US,Viral Nation,Test Automation Performance testing using AWS distributed load testing. Also did UI automation  using Katalon ,Vijaya ,,,,,,
75,Entertainment / Video Editing,GOM & Co.,South Korea,Web Video Editor ,"GOM Lab offers a wide range of media software, mobile apps, and web services, from video player to video editor, such as GOM Player, GOM Audio and so on. In Time Tec has partnered with GOM to developer a web based video editor tool which is an ambitious project and targeted for global launch",Yatin,Web,"ReactJS, NodeJS, Canvas, ",,,Active,
76,BFSI,Demyst,Australia ,Demyst,In Time Tec has partnered with Demyst to develop lending applications for small businesses.  ,Gnanaraj,Web,"ReactJS. NodeJS, Cybersecurity",6,4+ months,Active,
77,Engineering & Management ,MPR Associates,US,MPR Rewrite,MPR Rewrite: Domain (9 headcount) - Engineering and management servicesSolution provided by Itt -MPR team has an internal platform where they manage several projects and business operations. We are helping them re-architect the entire solution in a new technology stack using angular and .net core. We are also moving MPR from on premise infrastructure to the cloud.                                                        MPR - Legacy (1.5 headcount) (seperate project from same client) - It's maintenance work primarily. Fixing issues and add small change requests/enhancements. Same team is responsible for server and others upgrades activities.                                                                                                                     ,Wamakshi,Web,"Angular, .NET",10.5,6+ months,Active,
78,BFSI,Netacent,US,Netacent,"Modernizing Unemployment Insurance Operationsfor State Agencies. In Time Tec has partnered with Netacent and supporting with web development and DevOps required for revamp, new development and upgrade of their platform.",Mahendra,Web ,"C#, Azure, MS SQL Server",6,1+ year,Active Development,
