#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,simplot bi reporting,simplot,project,,agriculture,"simplot was looking for migrating their legacy reporting and etl tools like brio, qlikview, cognos, web focus to microsoft stack","we are taken end to end responsibility for migrating all the reports from brio to ssrs, worked on the administration of the qlikview servers and worked re- architecture of the qlikview servers and migrated 90% of the qlikview reports to microsoft power bi, ssrs. we have also worked on migrating the cognos cubes, ssis packages to ssas, ssis respectively. also worked on creating many of the reports in power bi from scratch. we also provide the support for all the cognos cube, reports, packages, and ssrs, power bi, qlikview support",,,"power bi, ssrs",7,6+ years,active,," migrating their legacy reporting and etl tools like brio, qlikview, cognos, web focus to microsoft stack "
,communicator app,alertsense,project,mobile development- cross platform,communication,alertsense had a development team and needed an extended team. a web application was already in place and they wanted a mobile app with similar features. in time tec started with mobile app development as well as maintenance of their existing web application. ,"alertsense communicator fulfils following objectives - 
simplify crisis & incident reporting: situational intelligence from mobile users, with images/assessments, delivered to automated escalation paths by event type.​
location-based alerts: assess safety/status of mobile travellers & site users in a map-selected area. identify/alert those in harm’s way, while preserving battery life & respecting users’ privacy
access: internal​
target user group: b2b (internal use within organisations) ​
team structure:  ​
1 software engineer (be development) ;  ​
2 software engineer (mobile-native) ; ​","in time tec helped alertsense in launching their apps. earlier their apps were internal to their team. entire process of go-live was done by in time tec. ​​
","key features: ​
push notification​
server-client rest connectivity​
map integration​
create alerts from app​
upload media files​
chat​
platform: android​
technology: native ",native,3,2 years,closed,,
,myalerts,alertsense,project,mobile development- cross platform,communication,alertsense had a development team and needed an extended team. a web application was already in place and they wanted a mobile app with similar features. in time tec tec started with mobile app development as well as maintenance of their existing web application. ,"•user can receive life-saving emergency alerts from public safety agencies, advanced warning of severe weather and community notifications that impact you and your family. ​

•location based alerts with live location monitoring to keep the user updated.​

•alerts include severe weather, public safety, community notifications.
access: internal​

target user group: b2c (internal use within organisations) ​

team structure:  ​

2 software engineer (be development) ;  ​

2 software engineer (mobile-cordova ionic) ; ​

1 software engineer (qa)​

​",in time tec helped alertsense in launching their apps. earlier their apps were internal to their team. entire process of go-live was done by in time tec.,"key features: ​

 push notification​

 server-client rest connectivity​

 location based services​

 motion sensors​

 map integration​
platform: ios, android​
technology: cross platform (hybrid)",,5,5 years,c;osed,,
,ubi,skytrace,project,mobile development -ionic/web development,transport,client needed live tracking for vehicles and sending notifications to the end users for car services and other services.,"developed mobile app as well as web portal for vehicle inventory management and services. 

mobile application is not live yet, however client found few customers, and we have given demos to them and this is ongoing, developed software for managing hardware devices used for live tracking.
access: external​
target user group: global​
team structure:  2 software engineers (development) ;  1 software engineer (qa)","user who subscribe to the mobile application get notifications for due car services, and they can also track their vehicles live. vehicle lot can be managed.","key features: ​

live tracking of vehicles​

securing vehicle from thefts​

share live location anytime​

notification of vehicle status​

server-client rest connectivity​


platform: ios, android​
technology: cross platform​","angular, python, ionic, devops",4,5+ years,active,,
,pmi chapter event,pmi chapter event,project,mobile development - cross platform,events,ease pdu submission and increase participant engagement at local chapter events with the pmi chapter events app. it uses gamification to engage users with sponsors,"in time tec offered following solution via mobile app development that helped the stakeholders in following way - ​

​

•admin: event organizers can scan and register their attendees using their mobile phones or ipad at the event streamlining the onsite check-in and pmi pdu crediting process. ​

•user: event attendees can view and register their attendance using their mobile phone at the event streamlining the onsite check-in and pmi pdu crediting process. ","participating local pmi chapters use the app to take attendance and submit pdus for members. chapter members and guests register for events and even choose conference sessions, where applicable, in the app.​","key features: ​

server-client rest connectivity​

event attendance​

event details & location​

event calendar​

qr scanner / generator​


platform: ios, android​
technology:  cross platform​

​",cross platform,2,3years,closed,,
,feedlot manager app,nextgen agtech,project,mobile development - native,agtech,"next gen/ag tech offers tech innovation to the agriculture industry by allowing feedlot managers to track cattle shipments, manage feedlots, and finance cattle using cloud software. feedlot manager is product of nextgen agtech.","cattle country capital app is a solution for tracking finance data of cattle for various feed lots. ccc helps in cutting paperwork and multiple spreadsheets required for managing cattle and related finances. ccc has multiple software applications to cover lifecycle of livestock from procurement, animal husbandry involving feeding, rationing, health and reporting, and transportation for further processing in the cattle supply chain.​
in time tec has developed the product and releasing mvp version in 2023. mobile app is expected to be published on itunes this year.
access – b2b (customers subscribing for ngat)​
user group: us​
team structure – ​
2 software engineers (development-backend), ​
2 software engineers (ios)​
1software engineer (qa)​","app has been tested in production environment. development work is ongoing and not published on itunes yet.​

​","login as loader or truck driver​

select ration to load in truck​

monitor delivery of ration to pens.​

real time loading and delivery of ration​

​

platform: ios (ipad)​
technology:  native","ios, reactjs, .net, azure",14.5,2+ years,active,,
,st luke's health system,st lukes hospital,project,mobile development - native,healthcare,"mobile app (ios+android) for major healthcare provider of idaho. has features like find providers (search by name, specialty or keywords). we can search provider in family medicine, paediatrician and urgent care. find location by name in same family medicine, urgent care and emergency care. provide feedback to app admin.","in time tec app to support following features - ​

help users find nearby hospitals in st. luke’s network​
help users find nearby specialty doctors in st. luke’s network​
get details about hospitals and doctors​
access personal medical records with integrated mycharts​
pay medical bills with visit pay.​
access: ​
target user group: global​
team structure:  ​
6 software engineer (development) ;  2 software engineer (qa)​
(*5 mobile app developers ; 1 be developer)","st luke's hospital was not having a mobile app earlier. in time tec helped in bringing experience for their patients on mobile platforms. it is of great use for the patients as it is earlier to get important information about doctors, hospitals and medical help.","find nearby hospitals​

find nearby specialty doctors​

pay bills​

access medical records​

​

platform: ios, android​
technology: swift, kotlin","ios : swift​

android : kotlin​

backend api: .net​

third party api to fetch provide and location : talix",8,2+ years,active,,
,touchfree mfp,hp,project,mobile development - cross platform,printing,"during the pandemic, in time tec realized that most industries were focusing on touchfree experience. this was was a result of an idea to create touchless experience for printers and mfps.","in time tec developed mobile app that supports following features - ​

remotely control compatible hp printers and multi-function devices through your phone on the same network.​

print any supported document on your phone.​

scan documents and save them to your phone without touching the mfp control panel.​

share your scanned documents anywhere your phone can share​

copy documents without touching the mfp control panel.
access: external​

target user group: global​

team structure: 4 dev 1 qa","with touchfree mfp app, users no longer need to worry about touching a printer or scanner control panel again. with this app, they can remotely control compatible hp printers and multi-function devices through their phones.​

​","remote print, scan, copy​

share scanned documents​

touchless access​

multi printer support​​

platform: ios, android​
technology: cross platform","android, kotlin, ios, swift, java, devops, api automation",not available,not available,closed,riddhi,
,hp roam,hp,project,mobile development - native,printing,hp roam was a mobile app which was designed and developed for roam printing (print from anywhere). later it was enhanced and supported by in time tec. it was an ambitious project for hp. ,"in time tec developed certain features in collaboration with hp. we majorly did the qualification work for entire project. this includes setting of the framework, creation of working pipeline to promote code to production ​

api testing ​

ui testing ​

devops ​

work we have done - mostly fixed bugs, fees feature, taxability feature, diselematic feature, payrix feature.
access: external​
target user group: global​
team structure:  5 software engineer (development) ;  20 software engineer (qa)","hp roam app helped to accomplish following - ​

print effortlessly from any device, virtually anywhere, to any hp printer—securely through the cloud​

mobile professionals can now print at virtually any time, from virtually any location and device. print jobs are submitted to the cloud as users create or consume content. ​

prints can then be securely retrieved from any enabled device in the office, at a home office, or at a growing number of public print locations.1 there's no need to worry about device-to-printer compatibility or connectivity"," ble nearby search​

 map integration​

 location tracking​

 server-client rest connectivity​

​

​

platform: ios, android​
technology: native​",native,25+,2+ years,closed,,
,life's abundance app,life's abundance,project,mobile development - cross platform,sales,life's abundance products are made for people and pets (dogs and cats). they already have an existing website. they wanted a mobile app for their sales team so that sales team is updates about volume of sales and commission on sales. ,"in time tec developed first phase of the application that has following features - ​
salesperson can login and rest username/password ​
salesperson can view sales commission and volume of sales ​
salesperson can set notifications based on time (weekdays, weekends, month-end, or never)​
above features are completed and first version is released.  ​
development is ongoing, and next update will include history and features are being discussed with client.
access: internal ​
target user group: us​
team structure:  3 software engineer (development) ;  1 software engineer (qa) ; 1 technology consultant",enable sales team with visibility of sales volume and commission history. app development is ongoing and feedback from actual users (salesperson) is awaited. ,"key features: ​

 login / forget username/password​

information on sales commission / sales volumes​

push notifications – settings to receive ​

​

​

​

platform: ios​
technology: cross platform (react native)​",react native,5,8 months,active,vijaya,
,opportunity renewal process automation,global logic,project/case study,salesforce,it,"client is a global provider of professional it services and solutions which includes product design and development. opportunity (sales leads/deals) renewal is maximum portion of business, but opportunity renewal was manual, there were chances of missing creating renewal opportunity causing issue in getting accurate data. ​

note- opportunities are deals in progress. opportunity records track details about deals, including which accounts they're for, who the players are, and the amount of potential sales. if your salesforce admin has set up leads in your salesforce org, an opportunity is created when a lead is converted.",automated the opportunity renewal using scheduled process that will occur just before 90 days of agreement expiration date on an opportunity. ,no manual process and enabled business team take proactive action by creating renewal opportunity before agreement expires and provided accurate data for in a clicks.​,,salesforce,,,,,
,customization & optimization of project planning & resourcing process ,global logic,project/case study,salesforce,it,delivery team was using excel sheet to calculate options of team composition and ramp up plan while negotiating with client/prospect. this data was not utilized efficiently for future purposes and maintaining data in excel sheet is tedious job.,"built a customize solution to estimate team composition and staffing plan, to calculate labour and project margin for opportunity right in the system. also provided additional functionality of loading estimate details using xls template. loading functionality was improved and helped in reducing time to fetch data. for example: 1000+ staff can be loaded within a minute. these estimate details can be exported and shared with customers as a quote.​

​",average creation to completion time for quotes improved. accurate planned data that helps for analysis of planned vs actual.,,salesforce,,,,,
,custom dashboard & structured reporting ​,global logic,project/case study,salesforce,it,"sales team was facing challenge to prepare reports and charts externally that was needed for sales heads and management.​

​","built customized dashboards upon business need using einstein analytics. created sales dashboard to provide an overview of key performance indicators to sales team. created dashboards to show a projection of business for the next 2 years, sales trending analysis using waterfall representation, customized leaderboard dashboard to show the performance of sales reps and service offerings open pipeline to showcase sales based on offerings.","removed repetitive process of external chart preparation and have all dashboards at single place.​

​",,salesforce,,,,,
,deal creation and invoice,global logic,project/case study,salesforce,it,move complete business process to salesforce from deal creation to invoice. as currently different functionalities distributed across multiple systems including oracle erp.,"customizing the psa package provided by financialforce.​

salesforce provides solutions to overcome the challenges client was facing with oracle erp and other systems.","there were restrictions, challenges and limitations client was facing with oracle erp / other systems being used ​

single system to manage complete process from deal creation to invoice (in progress)",,salesforce,,,,,oracle erp to salesforce
,merging two salesforce instances into one,simplot,project/case study,salesforce,agriculture,"*org merge (they were using two different salesforce prod for different countries)​

*an org merge is the process of combining one or more production instances of salesforce.​

​","  merging both orgs and according to region employees started using them.​
org merge offered different types of solutions. which includes:​
migration of all metadata, users, and their permissions into the first environment.​
all objects and their fields and record types have been migrated to the merge environment.​
the purpose of this project: was to move all users and necessary configuration from the sapl org into the na org. this was not a trivial task and took a lot of effort to complete. ​​
migration strategy used:​
the way we migrated metadata, users, and data is by using a big bang approach. this approach helped us to complete migration efficiently.​","cutting maintenance overheads: no need to maintain two salesforce orgs for one company.​

​

​

​

​

​

​",,salesforce,,,,,merging two salesforce instances into one
,experience cloud implementation  ,simplot,project/case study,digitalisation,agriculture,"simplot wanted to have  digital experiences to connect with customers, partners, or employees. users can use 'help forum', support community and other web pages to manage accounts and invoices."," experience cloud usage(implementation) - it helps to deliver connected digital experiences — fast. reinvent the customer experience, engage more customers, and accelerate growth across any industry with data-driven sites, portals, and mobile applications. ​

​",proper digital experience connected to crm.,,salesforce,,,,,
,cpq implementation,simplot,project/case study,salesforce-process automation,agriculture,simplot wanted to manage pricing for products and rebate on product according to history of customer.  that includes approval automation from higher authorities and other automation processes. (we are implementing idea. solution for using cpq was offered from salesforce team )," provided a solution to speed up their sales process and generating quotes, orders and contracts"," made the process easy and quicker for rebate on product as per history of customer. ​
note: cpq is an abbreviation of configuring, price, and quote. it is an extension of the salesforce crm, and its purpose is to speed up the sales process and make it easier. cpq is a native unit of salesforce that is responsible for the automation of generating and processing quotes, orders, and contracts​",,salesforce,,,,,
,truckstop,truckstop,project,web development and testing,transport/logistics,"client is in logistics business involving brokers and carriers. they were already using a web application. they expected in time tec to enhance the existing application and do the qualification work​

​","truckstop is a leader in transportation technology and freight matching solutions. truckstop offers logistics solutions for transportation professionals through load planning, transportation management, real-time rates, and negotiation tools, as well as the largest industry credit reporting entity helping industry professionals find trusted freight partners.","after in time tec took over, there was improvement in quality and many additional features were added. testing was automated that help in saving time and increased speed of execution.",,".net, php manual qa c#, rest sharp, selenium salesforce, provar, angular, python, ionic, reactjs, automation ​",80,3+ years,active,gnanraj,
,rmis,truckstop,project,web development,insurance,truckstop (client) had acquired (rmis). they started integrating rmis into truckstop. they are doing sales and wanted our team to help with generating accounts / web view for clients of truckstop and do the qualification work.​,"team is responsible for truckstop new product acquisition rmis, which is insurance domain and responsible for onboarding new client carriers.​

started with a lean team of 3 developers to start up and later team expanded to 20+ developers and 30 qa engineers supporting the project.​",improved sales and quicker onboarding for clients of truckstop.​,,.net,50,1.5 years,active,prasun,
,fullbay,fullbay,project,web development,transport,fullbay is based on php technology and an existing web application was in place. fullbay is cloud-based shop management software built specifically for heavy-duty repair shops. client wanted new features implemented in their existing website. they needed help with implementation of business logic (calculations and billing). ,"in time tec helped client with development of features such as clock management, simplified invoicing, inventory monitoring, streamlining reports etc, and ui changes on the existing website.​
access: external ​
target user group: us​
team structure:   9 software engineer (development) ;  3 software engineer (qa)",client's sales processes got streamlined. required features got added on to their website.,,php,12,1year,closed,kuldeep,
,"ferry international
","ferry international
",project/case study,app development,education,"client is a real estate coaching company. they provide training, motivating and coaching services by teaching lead generation and conversion techniques. they offer one-on-one coaching, experiential training events, and online productivity products as well as sought-after speakers for exclusive events.​

they needed an app for administrative users to access real time data about potential system problems, reporting deprecated metadata, users and licences.  ","lightning app for admin users where they can access real-time categorized org and object limits data, login activity of users and helping admins to figure out if licenses can be freed up.   ​

​",it helped the system administrators and other stakeholders with decisions like designing solutions for new requirements and managing user licenses.,,salesforce,,,,,
, refinement of design ,"ferry international
",project/case study,,education,security and access clean up: simplifying user profiles and permission sets and redesigning of security model. ,the itt team figured out profiles and permissions are redundant and making admins difficult to figure out what to access to give what user. redesigned the security model to remove access checks in the code to efficiently use the out of box security solutions provided by salesforce.,this helped admins to determine easily what profile to be assigned to users and what additional permissions to be given and users having exactly what access they need.,,salesforce,,,,,
,salesforce implementation ​,balsam brands,project/case study,,transport/logistics,"for an oversize product, there are multiple cartons per package, and the same number of shipments are generated with the labels and bol, which costs the business team at least $200 per box to return.​

​","a single shipment was implemented for multiple packages with a single bill of lading with custom apex code by making use of zenkraft apis.​

​",helps business reduce significant fedex billing costs.,,"salesforce, zenkraft apis",,,,,
,360 degree view of customer data,balsam brands,project/case study,ux design,ecommerce,"it was difficult for users to have a look at the transactions and interactions made by a customer with the company. and users want to see all the details on a single page to help service the customer better.​

​",implementation customer 3600 using salesforce lightning solutions and duplicate data mangement ,helps save the users time and improve ux and serve their customers faster and better.,,salesforce,,,,,
,cradlepoint- salesforce community cloud,cradlepoint,project/case study,web development,,"bring cradlepoint's partners and employees together on a single platform as part of cradlepoint connect initiative​

portal was responsible to provide a place where partners can share deal information with employees, create support cases and access latest knowledge articles​

​","salesforce community cloud was used with customer community license instead of partner community license.​

features were implemented using apex and visualforce pages.​

look and feel of portal was completely changed from salesforce standard to cradlepoint website theme using html, css and javascript.​

note- community cloud is a social platform from salesforce.com that is designed to connect and facilitate communication among an organization's employees, partners and customers.","salesforce community cloud was used with customer community license instead of partner community license.​

features were implemented using apex and visualforce pages.​

look and feel of portal was completely changed from salesforce standard to cradlepoint website theme using html, css and javascript.​

note- community cloud is a social platform from salesforce.com that is designed to connect and facilitate communication among an organization's employees, partners and customers.",,"salesforce, html , css , javascript",,,,,
,iris,iic,project,,insurance (public sector),"earlier idaho industrial commission were using the commercial off-the-shelf software which involved so much of manual intervention. apart from this there were so much of paperwork which plays crucial role in the completion of running process. overall, the legacy s/w were having lot of dependence on the paperwork across the department at iic. ​

​"," automating the compliances, benefits processing and giving the flexibility to the claim holders to submit their claims via portal. targeting to golive by early 2024. 30-40 users from iic are going to use the system. however, n number of claim users can use the system via portal. ​

compliance app is live. it is being used by iic to check compliance related to workers compensation from employers' side as well as from employee-side.​

​

access: internal for iic (idaho industrial commission) as well as web portal for external users seeking benefits​

target user group: state of idaho, us​

team structure:  1 product owner, 2 project managers (onshore/offshore), 20 software engineer (development) ;  8 software engineer (qa/sdet) ; 3 business analysts ","iris is a multi-year project, executed by the idaho industrial commission (iic) in tandem with in time tec, to configure commercial off-the-shelf (cots) software which fulfils the industrial commission’s business requirements. the goal of iris is to replace paper-dependent administrative processes with digital solutions that emphasize customer service, optimize data management, and foster workflow efficiency. ​

​

the project will implement microsoft dynamics 365 to replace all existing business applications. it will also introduce digital document storage solutions and power bi, a robust reporting and analytics tool, to commission operations. ",,"microsoft dynamics 365, power bi",35,3 years,active,sudhir,
,getoraid,idaho health & welfare dept.,project,,healthcare (public sector),idaho health and welfare department do track the cases wherein the fund request or maintainability of the clients/ contacts and this brings in the automation of the same for the idaho heatlh and welfare dept.,"automating customer service for dept. of health of idaho. targeting to golive by early 2023. ​

​

access: internal as well as external​

target user group: us​

team structure:  1 product owner/ba, 2 project managers(onshore/offshore, 1 technical architect, 3 software engineer (development) ;  1 software engineer (qa)",the solution will help client to have paperless and easy step to track the fund request or maintainability of the clients/ contacts. ,,microsoft dynamics 365,8,3 months,active,sudhir,migration from manual to digital data storing
,tugboat-custom solutions on power app platform ​,tugboat,case study,,education,"the service provider will provide software solution development services, delivering a software solution built on the microsoft power platform, that will deliver the objectives of phase 1 of the app modernization solution​

the microsoft power platform will be used as the basis for the certification tool along with other microsoft power platform tools","features to be developed in phase 1, covered by this sow, include​

- a customer portal where customers sign-up or login to the system and execute and manage the certified evergreen process.​

- payment integration.​

- diagnostic survey for potential new customers.​

- data architecture and implementation for collection of certification data and accessibility to data for current and future growth.​

- bridge from phase 1 of the system to the existing scoring and reporting system.
ability to spin up a test environment for the tugboat institute users to test changes to the system.​

- setup and administration of the power platform for the tugboat institute.​

- documentation and training on usage of the system as well as technical design documentation ​","itt will provide software solution development services, delivering a software solution which will enable client’s current system and execute and manage the certified evergreen process along with the payment process.",,,,,,,
,titan,hp,project,web development/test automation,printing,it was a web portal built for hp partners for mps business targeted towards different offerings and their subscriptions. these offerings are for different apps which can be installed on printers. hp marketing and sales team were involved as stakeholder for the project.,"itt came as extended staff to existing team members, started with api test automation and then started contribution on development. eventually, itt took responsibility for 24x7 support, implemented new relic and victor ops.​

as part of the application rest apis were exposed to hp partners to consume. these apis were protected via service account authentication.​

​

target user group: hp partners​
team structure:  10 sdet, 5 developers, 1 manual qa","as in time tec took responsibility to automate all regression and smoke test cases, team could achieve goal of daily deployment. time to code merge to production was possible within 6 hours including all checks and testing.​

with implementation of new relic and victor ops, development team was not required to monitor the system, instead they started receiving call when system required any attention.",,,25+,2+ years,closed,tarun,
